course_id,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,language,rating,year_published
1070968,Ultimate Investment Banking Course,Pago,200,2147,23,51,All Levels,1.5,2017-01-18,Business Finance,English,3.6,2017
1113822,Complete GST Course & Certification - Grow Your CA Practice,Pago,75,2792,923,274,All Levels,39.0,2017-03-09,Business Finance,English,4.5,2017
1006314,Financial Modeling for Business Analysts and Consultants,Pago,45,2174,74,51,Intermediate Level,2.5,2016-12-19,Business Finance,English,4.2,2016
1210588,Beginner to Pro - Financial Analysis in Excel 2017,Pago,95,2451,11,36,All Levels,3.0,2017-05-30,Business Finance,English,4.5,2017
1011058,How To Maximize Your Profits Trading Options,Pago,200,1276,45,26,Intermediate Level,2.0,2016-12-13,Business Finance,English,4.8,2016
192870,Trading Penny Stocks: A Guide for All Levels In 2017,Pago,150,9221,138,25,All Levels,3.0,2014-05-02,Business Finance,English,4.23,2014
739964,Investing And Trading For Beginners: Mastering Price Charts,Pago,65,1540,178,26,Beginner Level,1.0,2016-02-21,Business Finance,English,4.5,2016
403100,"Trading Stock Chart Patterns For Immediate, Explosive Gains",Pago,95,2917,148,23,All Levels,2.5,2015-01-30,Business Finance,English,4.8,2015
476268,Options Trading 3 : Advanced Stock Profit and Success Method,Pago,195,5172,34,38,Expert Level,2.5,2015-05-28,Business Finance,English,4.23,2015
1167710,The Only Investment Strategy You Need For Your Retirement,Pago,200,827,14,15,All Levels,1.0,2017-04-18,Business Finance,English,3.7,2017
592338,Forex Trading Secrets of the Pros With Amazon's AWS,Pago,200,4284,93,76,All Levels,5.0,2015-09-11,Business Finance,English,3.9,2015
975046,Trading Options With Money Flow,Pago,200,1380,42,17,All Levels,1.0,2016-10-18,Business Finance,English,4.23,2016
742602,Financial Management Risk and Return For Securities,Pago,30,3607,21,19,All Levels,1.5,2016-02-03,Business Finance,English,3.5,2016
794151,Forex Trading Course: Work Smarter Not Harder Proven Results,Pago,195,4061,52,16,All Levels,2.0,2016-03-16,Business Finance,English,4.2,2016
1196544,Python Algo Trading: Sentiment Trading with News,Pago,200,294,19,42,All Levels,7.0,2017-04-28,Business Finance,English,4.23,2017
504036,Short Selling: Learn To Sell Stocks Before The Fall,Pago,75,2276,106,19,Intermediate Level,1.5,2015-06-22,Business Finance,English,4.5,2015
719698,Basic Technical Analysis: Learn the structure of the market,Pago,20,4919,79,16,Beginner Level,1.5,2016-01-08,Business Finance,English,4.23,2016
564966,The Complete Chart Pattern Trading Course: A Proven Approach,Pago,200,2666,115,52,All Levels,4.0,2015-08-10,Business Finance,English,3.8,2015
606928,7 Deadly Mistakes of Investing that Will Slash Your Profits!,Pago,50,5354,24,23,All Levels,1.5,2015-09-21,Business Finance,English,4.23,2015
58977,Financial Statements Made Easy,Pago,95,8095,249,12,Beginner Level,0.58,2013-06-09,Business Finance,Catalan,4.23,2013
1242604,Winning Forex Trading with Live Forex Trading Examples,Pago,200,809,3,25,All Levels,2.0,2017-06-06,Business Finance,English,4.23,2017
798740,Forex Traders - Create Your First Trading Robot. No Coding!,Pago,200,2295,84,39,All Levels,4.0,2016-05-02,Business Finance,English,4.4,2016
506568,Create A Business From Home Trading Stocks Today In 2017,Pago,75,10149,83,16,All Levels,2.0,2015-05-26,Business Finance,English,4.23,2015
1020760,Introduction to Accounting : Mastering Financial Statements,Pago,50,1916,38,23,Beginner Level,1.0,2016-12-05,Business Finance,English,4.5,2016
859742,The Complete Ethereum Course: Get .01 Ether In Your Wallet,Pago,45,2507,333,40,All Levels,2.0,2016-05-30,Business Finance,English,4.23,2016
383414,Beginner to Pro in PowerPoint: Complete PowerPoint Training,Pago,150,5786,518,50,All Levels,5.0,2015-01-31,Business Finance,English,4.5,2015
353044,Investing 101: The Complete Online Investing Course,Pago,200,5334,373,42,All Levels,4.5,2014-11-28,Business Finance,English,4.3,2014
447362,Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,Pago,175,4005,237,25,Intermediate Level,2.0,2015-04-12,Business Finance,English,4.4,2015
